OCC_TITLE,TOT_EMP_NY,H_MEAN_NY,A_MEAN_NY,H_MEDIAN_NY,A_MEDIAN_NY,TOT_EMP_SF,H_MEAN_SF,A_MEAN_SF,H_MEDIAN_SF,A_MEDIAN_SF
"Production Workers, All Other","5,830",17.41,"36,210",15.22,"31,660",,,,,
Transportation and Material Moving Occupations,"672,500",21.56,"44,840",17.76,"36,950",,,,,
Aircraft Cargo Handling Supervisors,690,31.7,"65,930",31.89,"66,340",,,,,
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","27,540",32.17,"66,910",31.2,"64,910",,,,,
"Airline Pilots, Copilots, and Flight Engineers","8,700",*,"192,410",*,"185,670",,,,,
Air Traffic Controllers,**,72.58,"150,970",79.27,"164,880",,,,,
Airfield Operations Specialists,520,37.46,"77,920",37.28,"77,550",,,,,
Flight Attendants,"13,040",*,"52,710",*,"52,530",,,,,
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",490,16.32,"33,940",14.84,"30,870",,,,,
Driver/Sales Workers,"15,980",17.46,"36,320",15.61,"32,470",,,,,
Heavy and Tractor-Trailer Truck Drivers,"64,360",27.38,"56,960",26.73,"55,600",,,,,
Light Truck Drivers,"49,200",21.27,"44,230",19.57,"40,700",,,,,
"Bus Drivers, Transit and Intercity","18,660",30.43,"63,300",31.71,"65,960",,,,,
"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity","42,780",21.03,"43,750",19.65,"40,860",,,,,
"Motor Vehicle Operators, All Other","2,800",20.63,"42,920",19.74,"41,050",,,,,
Locomotive Engineers,230,35.99,"74,850",36.92,"76,790",,,,,
Railroad Conductors and Yardmasters,"3,940",29.35,"61,040",29.21,"60,750",,,,,
"Rail Transportation Workers, All Other",180,28.42,"59,100",28.21,"58,680",,,,,
Sailors and Marine Oilers,"1,490",25.22,"52,460",26.88,"55,920",,,,,
"Captains, Mates, and Pilots of Water Vessels","1,780",41.32,"85,940",41.48,"86,280",,,,,
Motorboat Operators,140,24.68,"51,340",22.58,"46,960",,,,,
Ship Engineers,520,45.86,"95,380",41.02,"85,320",,,,,
Bridge and Lock Tenders,180,24.83,"51,650",24.73,"51,440",,,,,
Parking Attendants,"12,610",15.04,"31,280",14.59,"30,360",,,,,
Automotive and Watercraft Service Attendants,"8,420",12.4,"25,790",11.46,"23,840",,,,,
Traffic Technicians,"1,140",29.55,"61,460",30.62,"63,690",,,,,
Transportation Inspectors,"4,050",36.78,"76,500",37.21,"77,390",,,,,
Passenger Attendants,"3,560",16.04,"33,350",16.72,"34,770",,,,,
"Aircraft Service Attendants and Transportation Workers, All Other","1,350",20.52,"42,670",18.4,"38,260",,,,,
Conveyor Operators and Tenders,**,18.06,"37,560",17.76,"36,930",,,,,
Crane and Tower Operators,"1,440",*,*,*,*,,,,,
Dredge Operators,60,*,*,*,*,,,,,
Hoist and Winch Operators,110,36.58,"76,080",37.32,"77,620",,,,,
Industrial Truck and Tractor Operators,"19,630",21.28,"44,260",19.02,"39,560",,,,,
Cleaners of Vehicles and Equipment,"16,800",18.09,"37,640",15.43,"32,080",,,,,
"Laborers and Freight, Stock, and Material Movers, Hand","170,340",17.58,"36,570",15.67,"32,600",,,,,
Machine Feeders and Offbearers,"1,160",16.48,"34,280",15.4,"32,030",,,,,
"Packers and Packagers, Hand","46,090",15.28,"31,780",15.22,"31,650",,,,,
Stockers and Order Fillers,"114,730",15.66,"32,580",14.39,"29,940",,,,,
Gas Compressor and Gas Pumping Station Operators,110,37.27,"77,520",37.43,"77,850",,,,,
"Pump Operators, Except Wellhead Pumpers",180,25.08,"52,160",23.21,"48,270",,,,,
Refuse and Recyclable Material Collectors,"10,150",29.63,"61,640",31.43,"65,370",,,,,
"Material Moving Workers, All Other","1,330",24.51,"50,980",25.44,"52,910",,,,,
